species,subpopulation,presence,data_type,tag_id,mld,PPupper200m,sla,sst,sst_sd,bathy,bathy_sd
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3460587774004,22.5489761179144,0.0155480953066477,18.5056953430176,0.398401348003434,-601.733246161478,292.062235847021
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3482387406485,21.4810896786776,0.0166483334199126,18.4862877130508,0.390724774757489,-660.898990402696,353.614349050112
Blue Whale,N Pacific,1,opportunistic sighting,1,10.378271039327,21.1405112193181,0.0481445163488388,20.5176517262178,0.874318384171875,-796.345293253965,395.75928010907
Blue Whale,N Pacific,1,opportunistic sighting,1,10.4194319248199,18.4083247449663,0.0465738710016012,20.4979298909505,0.707999151783039,-948.918622173374,446.305549128277
Blue Whale,N Pacific,1,opportunistic sighting,1,16.7878978649775,4.79690198103587,0.0571061106553922,17.5824389457703,0.41548585926368,-1148.83501015223,290.769427392741
Blue Whale,N Pacific,1,opportunistic sighting,1,10.4161395390828,21.2590397993724,0.0144614583768998,18.5607346428765,0.320047776838645,-614.736833609509,299.901195041506
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5973317104837,12.1463593400043,0.0236450722542308,17.8840009440546,0.531736513736576,-1060.37897592502,227.868306909155
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5762670351111,9.49746961178987,0.0174195649729961,17.2931319527004,0.6107781983133,-986.810690292263,245.967923044285
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5032611260047,21.7435883608731,0.0133792857190461,18.626734495163,0.240449806596725,-594.194243840219,300.070580952648
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5010197162628,22.0710765838623,0.0118479487360813,18.6226623535156,0.248779604462519,-538.338859207927,318.672960544029
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3422878810338,22.5098271803422,0.0463085254388196,20.6992816925049,0.761615814553895,-660.898990402696,353.614349050112
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3422878810338,22.5098271803422,0.0463085254388196,20.6992816925049,0.761615814553895,-660.898990402696,353.614349050112
Blue Whale,N Pacific,1,opportunistic sighting,1,10.4984082442064,24.191350590099,0.0349476957427604,20.9173862934113,0.525685372107558,-594.194243840219,300.070580952648
Blue Whale,N Pacific,1,opportunistic sighting,1,12.8917372113182,12.8609034674508,0.0592545703208695,19.0011127789815,0.459580836217479,-687.156682903195,347.994948659753
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3422878810338,22.5098271803422,0.0463085254388196,20.6992816925049,0.761615814553895,-660.898990402696,353.614349050112
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3552200317383,23.0484193166097,0.0443486022452513,20.7314572053797,0.749269287443653,-653.460702755845,340.879745619496
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3422878810338,22.5098271803422,0.0463085254388196,20.5755095762365,0.896792678623018,-660.898990402696,353.614349050112
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3552200317383,23.0484193166097,0.0443486022452513,20.7314572053797,0.749269287443653,-653.460702755845,340.879745619496
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3926726121169,23.8597496032715,0.0399478907481982,20.8048910776774,0.722392880204879,-630.656976692151,271.871008176366
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5005852154323,24.6012595494588,0.0340612901995579,20.8749984292423,0.538161656507192,-563.472582602923,312.678851073384
Blue Whale,N Pacific,1,opportunistic sighting,1,10.4108343760173,23.4630505243937,0.0374395160470158,20.8029086854723,0.665787083979088,-614.736833609509,299.901195041506
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3756511912626,20.5324850082397,0.0460409868289443,20.6378429814389,0.710997142333812,-774.722190947204,413.57371616356
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3422878810338,22.5098271803422,0.0463085254388196,20.6992816925049,0.761615814553895,-660.898990402696,353.614349050112
Blue Whale,N Pacific,1,opportunistic sighting,1,10.3414968081883,23.7769870758057,0.0442400923264878,20.7272212505341,0.773631732391303,-601.733246161478,292.062235847021
Blue Whale,N Pacific,1,opportunistic sighting,1,10.4183470408122,27.6984721735904,0.0395162755792791,19.4137761116028,0.732272691424209,-567.548492355354,335.794619101362
Blue Whale,N Pacific,1,opportunistic sighting,1,10.4080862317766,21.221227905967,0.015532619120287,18.5489375591278,0.338531158005922,-655.004647501086,274.701430567675
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5032611260047,21.7435883608731,0.0133792857190461,18.626734495163,0.240449806596725,-594.194243840219,300.070580952648
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5032611260047,21.7435883608731,0.0133792857190461,18.626734495163,0.240449806596725,-594.194243840219,300.070580952648
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5519463497659,13.8022138346796,0.0416011221544898,19.9701738772185,0.77986861592396,-1043.70488519282,230.631409361792
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5621123106583,12.7322927557904,0.0409732119625677,19.7966143566629,0.71986813535555,-1072.1614895516,228.21755919236
Blue Whale,N Pacific,1,opportunistic sighting,1,13.608661998402,14.475491642952,0.0484582047261622,17.1437940182893,0.725489087161017,-955.96646638482,813.325677969909
Blue Whale,N Pacific,1,opportunistic sighting,1,20.0902657142052,2.00296115023749,-0.0964371976442635,20.9276992082596,0.126346429450909,-733.675894990086,437.514012657561
Blue Whale,N Pacific,1,opportunistic sighting,1,14.1219888329506,1.41828130974489,-0.0785388892723454,19.4405757502506,0.267294059433678,-919.321791146585,533.68657689935
Blue Whale,N Pacific,1,opportunistic sighting,1,14.5133474667867,1.23135269605196,-0.0295288093698521,19.8501668294271,0.262529851517083,-568.466344755329,347.24996528798
Blue Whale,N Pacific,1,opportunistic sighting,1,11.0379316932277,16.4407798184289,0.0630769697441296,17.6953145027161,0.904906410601065,-432.853354607175,357.862797965057
Blue Whale,N Pacific,1,opportunistic sighting,1,11.1524571464175,21.1504112243652,0.0443669338524342,16.8347511291504,1.28212988470401,-489.051350588395,382.818841733205
Blue Whale,N Pacific,1,opportunistic sighting,1,11.3696839014689,31.2742037773132,0.0648327083326876,16.1520939469337,0.964550454551293,-1313.28195282877,853.365022581602
Blue Whale,N Pacific,1,opportunistic sighting,1,10.6201079686483,34.6640944480896,0.0159514584229328,14.099920630455,0.513517653194333,-1313.28195282877,853.365022581602
Blue Whale,N Pacific,1,opportunistic sighting,1,12.3667776367881,27.402805371718,0.010291865348573,15.7051940586256,0.567738441725727,-955.96646638482,813.325677969909
Blue Whale,N Pacific,1,opportunistic sighting,1,11.4732047716777,30.3009030678693,-0.0164983333845157,14.7402698040009,0.884476939359315,-697.63978550429,580.276847580211
Blue Whale,N Pacific,1,opportunistic sighting,1,13.2130206258673,36.819917011261,0.073836558808883,14.9036300750006,0.425011346887847,-1322.26793523225,980.647994113326
Blue Whale,N Pacific,1,opportunistic sighting,1,12.3557895024618,16.9462661182179,0.0397270968183875,14.9255732536316,0.629743034780888,-540.849477646612,400.738397389429
Blue Whale,N Pacific,1,opportunistic sighting,1,12.6233524175791,49.2433163324992,-0.0412080644940337,12.8451052347819,0.785483152081974,-282.132619931267,218.410400751541
Blue Whale,N Pacific,1,opportunistic sighting,1,13.2726257764376,43.6168562571208,-0.0263703705277294,12.9609352111816,0.66814315621749,-282.132619931267,218.410400751541
Blue Whale,N Pacific,1,opportunistic sighting,1,10.4974897091205,32.9953892571585,0.0298393332399428,15.1251728693644,0.48688127968202,-1135.71296074225,802.395711802588
Blue Whale,N Pacific,1,opportunistic sighting,1,12.4133323828379,2.94527758084811,-0.124819032847881,19.5848782857259,0.236005979005849,-734.509410144652,461.171056537447
Blue Whale,N Pacific,1,opportunistic sighting,1,13.5685416857402,1.33259359689859,-0.0695270970463753,20.5433387756348,0.521290282393802,-568.466344755329,347.24996528798
Blue Whale,N Pacific,1,opportunistic sighting,1,11.8176077062433,35.6719649178641,-0.028586153845446,15.2159573634466,1.41381514864974,-544.57247240686,415.138078510272
Blue Whale,N Pacific,1,opportunistic sighting,1,12.3653415498279,27.3588249115717,0.0102035190423273,15.6684091741388,0.552333147008805,-966.31602531454,831.925040204678
Blue Whale,N Pacific,1,opportunistic sighting,1,11.8981724580129,38.4407315935407,0.0615219230262133,14.528518371582,0.764969853792288,-1090.18852951533,1082.51513228479
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5424229471307,1.99080186141165,0.00328404076189097,27.8310946414345,0.570038208525873,-3110.36886220583,282.279603191707
Blue Whale,N Pacific,1,opportunistic sighting,1,12.6557267339606,25.3073990231469,0.0117379031522432,12.7594191074371,0.273178895034875,-906.585781962959,712.159819175107
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5755299159459,1.92485666275024,-0.0173995388405664,28.6968318394252,0.128754537248626,-3121.34966085533,97.3623746193887
Blue Whale,N Pacific,1,opportunistic sighting,1,12.0826797031221,22.2460840316046,0.0540748613420874,16.3966292091038,1.01661220320814,-685.367352142952,651.093381359653
Blue Whale,N Pacific,1,opportunistic sighting,1,10.9183085918427,30.9111940383911,0.0133761571386181,16.262355891141,1.41059020161106,-518.381526884666,408.54550449546
Blue Whale,N Pacific,1,opportunistic sighting,1,11.1950529946221,38.7791768803316,0.0130016128066927,14.0864125728607,1.39396906873938,-540.849477646612,400.738397389429
